id,slug,name,city,country,continent,latitude,longitude,startDate,endDate,eventTypes,partyEnergy,visualSpectacle,culturalDepth,tourismDensity,averagePulse,defaultAppScore,bestFor,description,travelNotes,officialWebsite,imageUrl,galleryImageCount
festa-di-sant-agata-catania,festa-di-sant-agata-catania,Festa di Sant Agata Catania,Catania,Italy,Europe,37.5079,15.083,2026-02-03,2026-02-05,religious_spiritual; carnival_parade; cultural_heritage,5,5,5,4,4.75,4,Religious significance; Traditional heritage; Street celebrations,"Cassatella di sant'Agata (Sicilian: minnuzzi 'i sant'Àjita, lit. 'Saint Agatha's breasts') is a traditional Sicilian pastry from Catania made during the Festival of Saint Agatha, held from February 3rd to February 5th each year.","Catania, Italy, in February usually lines up with winter norms for travelers—short daylight and cold snaps are common—insulated layers and grippy soles matter. Compare stays on both sides of the core venue cluster—cross-town transit can be faster than walking when Festa di Sant Agata Catania compresses foot traffic. Catania often publishes temporary parade detours only days ahead—save offline maps, favor rail where possible, and stake viewing spots well before the first float. Useful searches: “Festa di Sant Agata Catania 2026 official tickets”, “Catania February road closures transit”, “Italy travel advisory”, “Festa di Sant Agata Catania Catania visitor FAQ”.",,https://upload.wikimedia.org/wikipedia/commons/8/86/Velas_para_SantAgata_%283255969935%29.jpg,2
festa-frawli,festa-frawli,Festa Frawli,Mgarr,Malta,Europe,35.9205,14.3663,2026-04-12,2026-04-12,food_drink; seasonal; cultural_heritage,3,4,4,3,3.5,3,Food travel; Local authenticity; Family-friendly,"Festa Frawli is Mġarr’s annual strawberry fair, spotlighting local growers with stalls, strawberry-themed food and drink, live music, and family activities. It is one of Malta’s best-known village food festivals and draws day-trippers from across the islands.",Use Malta Public Transport routes serving Mġarr or official park-and-ride if offered—rural roads clog on festival Sunday. Bring sun cover and cash for stalls; confirm the exact date each year with the local council or festafrawli.com.,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Unique_Maltese_pyrotechnic_tradition-ground_fireworks_or_%C4%A1ig%C4%A1ifogu.jpg/1280px-Unique_Maltese_pyrotechnic_tradition-ground_fireworks_or_%C4%A1ig%C4%A1ifogu.jpg,2
festa-san-filep-zebbug-gozo,festa-san-filep-zebbug-gozo,Festa San Filep Zebbug Gozo,Zebbug,Malta,Europe,36.071,14.236,2026-06-07,2026-06-14,religious_spiritual; carnival_parade; cultural_heritage,3,4,5,2,3.5,2,Traditional heritage; Religious significance; Local authenticity,"Żebbuġ on Gozo marks the feast of Saint Philip (San Filep) with a traditional village festa: church services, processions, band marches, and fireworks over several days building to the feast. Visit Malta lists the feast on 14 June (confirm the annual programme for band marches and fireworks nights).",June on Gozo is warm and busy around festa nights—carry water and sun protection for daytime processions. Check the parish programme for fireworks and the feast-day mass; parking in core Żebbuġ is tight—use shuttle buses or walk in from edge-of-village parking when offered.,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Malte%2C_Gozo%2C_Zebugg_2011-04-19.JPG/1280px-Malte%2C_Gozo%2C_Zebugg_2011-04-19.JPG,2
feast-of-st-george-victoria-gozo,feast-of-st-george-victoria-gozo,"Festa ta' San Ġorġ — Victoria, Gozo",Victoria,Malta,Europe,36.0444,14.2397,2026-07-12,2026-07-19,religious_spiritual; carnival_parade; cultural_heritage,4,5,5,3,4.25,3,Religious significance; Traditional heritage; Photography,"Festa ta' San Ġorġ in Victoria (Rabat), Gozo, is a major parish feast centered on St George’s Basilica in the citadel area, with band clubs, fireworks, and a summer procession distinct from Ħal Qormi’s St George celebrations on Malta. Dates shift year to year—confirm with the parish.",Base on Gozo for the peak nights or use the frequent Gozo Channel ferry from Ċirkewwa; last ferries fill up after fireworks. Wear modest clothing for church visits and expect steep citadel streets.,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Unique_Maltese_pyrotechnic_tradition-ground_fireworks_or_%C4%A1ig%C4%A1ifogu.jpg/1280px-Unique_Maltese_pyrotechnic_tradition-ground_fireworks_or_%C4%A1ig%C4%A1ifogu.jpg,2
festival-d-avignon,festival-d-avignon,Festival d'Avignon,Avignon,France,Europe,43.9493,4.8055,2026-07-04,2026-07-25,arts; music; historical,3,4,5,4,4,4,Art and design; Cultural immersion; Summer travel,"The Festival d'Avignon, or Avignon Festival (Occitan: Festival d'Avinhon), is an annual arts festival held in the French city of Avignon every summer in July in the courtyard of the Palais des Papes as well as in other locations of the city. Founded in 1947 by Jean Vilar, it is the oldest existent festival in France. Alongside the official festival, the ""In"" one, a number of shows are presented in Avignon at the same time of the year and are known as the ""Off"". In 2008, some 950 shows were performed during three weeks.","Avignon, France, in July usually lines up with summer heat for travelers—afternoon UV and crowds stack up—hydrate, schedule outdoor blocks earlier or later in the day. Compare stays on both sides of the core venue cluster—cross-town transit can be faster than walking when Festival d'Avignon compresses foot traffic. For Festival d'Avignon, confirm age limits, re-entry rules, and whether the site is cashless; ear protection helps on main stages and near delay towers. Useful searches: “Festival d'Avignon 2026 official tickets”, “Avignon July road closures transit”, “France travel advisory”, “Festival d'Avignon Avignon visitor FAQ”.",,https://upload.wikimedia.org/wikipedia/commons/4/4b/Avignon_festival_2006_asobu_popes_palace.jpg,2
festival-interceltique-de-lorient,festival-interceltique-de-lorient,Festival Interceltique de Lorient,Lorient,France,Europe,47.7483,-3.3702,2026-08-07,2026-08-16,music; cultural_heritage,4,4,5,3,4,3,Music lovers; Cultural immersion; Group trips,"The Festival interceltique de Lorient (French), Emvod Ar Gelted An Oriant (Breton) or Inter-Celtic Festival of Lorient in English, is an annual Celtic festival, located in the city of Lorient, Brittany, France. It was founded in 1971 by Polig Monjarret. This annual festival takes place in the heart of the city every August and is dedicated to the cultural traditions of the Celtic nations (pays celtes in French), highlighting Celtic music and dance and also including other arts such as painting, photography, theatre, sculpture, traditional artisanry as well as sport and gastronomy. Participants come from Brittany, Ireland, Wales, Scotland, Cornwall, Cumbria, the Isle of Man, Cape Breton Island, Galicia, Asturias, Acadia, and the entire Celtic diaspora.","Lorient, France, in August usually lines up with summer heat for travelers—afternoon UV and crowds stack up—hydrate, schedule outdoor blocks earlier or later in the day. Lock lodging with easy access to the main festival spine in Lorient; corridors nearest the route book out first for Festival Interceltique de Lorient. For Festival Interceltique de Lorient, confirm age limits, re-entry rules, and whether the site is cashless; ear protection helps on main stages and near delay towers. Useful searches: “Festival Interceltique de Lorient 2026 official tickets”, “Lorient August road closures transit”, “France travel advisory”, “Festival Interceltique de Lorient Lorient visitor FAQ”.",,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/FIL2009-010_KevrennAlre.jpg/1920px-FIL2009-010_KevrennAlre.jpg,2
fete-de-l-escalade,fete-de-l-escalade,Fête de l'Escalade — Geneva,Geneva,Switzerland,Europe,46.2044,6.1432,2026-12-11,2026-12-13,historical; civic_national_holiday,2,3,5,3,3.25,3,Traditional heritage; Winter travel; Family-friendly,"L'Escalade, or Fête de l'Escalade (from escalade, the act of scaling defensive walls), is an annual festival in Geneva, Switzerland, held each December commemorating the defeat of an attempt to conquer the Protestant city-state by the Catholic Duchy of Savoy in 1602. The celebrations and other commemorative activities are usually held on 12 December or the closest weekend. Savoyard troops sent by Charles Emmanuel I, Duke of Savoy attempted a surprise attack during the night of 11–12 December 1602, but were repulsed by the Genevese defenders. According to legend, this was possible thanks to individual acts of bravery by Genevese citizens, notably by local resident Catherine Cheynel (also known as la Mère Royaume), who dumped boiling vegetable soup on the invaders and alerted the townsfolk.","Geneva, Switzerland, in December usually lines up with winter norms for travelers—short daylight and cold snaps are common—insulated layers and grippy soles matter. Compare stays on both sides of the core venue cluster—cross-town transit can be faster than walking when Fête de l'Escalade — Geneva compresses foot traffic. Heritage-heavy programs for Fête de l'Escalade — Geneva can mean cobblestones, monuments with stair-only access, and timed entries—wear supportive shoes and pre-book tight slots. Useful searches: “Fête de l'Escalade — Geneva 2026 official tickets”, “Geneva December road closures transit”, “Switzerland travel advisory”, “Fête de l'Escalade — Geneva Geneva visitor FAQ”.",,https://upload.wikimedia.org/wikipedia/commons/9/90/Escalade-battle-2.jpg,2
fete-de-la-musique-paris,fete-de-la-musique-paris,Fête de la Musique — Paris,Paris,France,Europe,48.8566,2.3522,2026-06-21,2026-06-21,music; civic_national_holiday; arts,5,4,3,5,4.25,5,Music lovers; Nightlife; Summer travel,"The Fête de la Musique (French pronunciation: [fɛt d(ə) la myzik]), also known in English as Music Day, Make Music Day, or World Music Day, is an annual music celebration which usually takes place in mid-June. On Music Day, citizens and residents are urged to play music outside, in their neighborhoods or in public spaces and parks. Free concerts are also organized, where musicians play for fun; no fees are involved. The idea for the first all-day musical celebration on the day of the summer solstice came from Jack Lang, then Minister of Culture of France, and Maurice Fleuret; it was celebrated in Paris in 1982. Music Day later became celebrated in 120 countries around the world.","Paris, France, in June usually lines up with summer heat for travelers—afternoon UV and crowds stack up—hydrate, schedule outdoor blocks earlier or later in the day. Compare stays on both sides of the core venue cluster—cross-town transit can be faster than walking when Fête de la Musique — Paris compresses foot traffic. For Fête de la Musique — Paris, confirm age limits, re-entry rules, and whether the site is cashless; ear protection helps on main stages and near delay towers. Useful searches: “Fête de la Musique — Paris 2026 official tickets”, “Paris June road closures transit”, “France travel advisory”, “Fête de la Musique — Paris Paris visitor FAQ”.",,https://upload.wikimedia.org/wikipedia/commons/7/70/Raga_du_soir_au_Coll%C3%A8ge_des_Bernardins_%284730079050%29.jpg,2
fete-des-lumieres,fete-des-lumieres,Fête des Lumières — Lyon,Lyon,France,Europe,45.764,4.8357,2026-12-08,2026-12-11,arts; historical; seasonal; cultural_heritage,2,5,5,4,4,4,Light art; Night walks; Winter city breaks,"The Festival of Lights (French: Fête des lumières, [fɛt de lymjɛʁ]) in Lyon, France, is a popular event that originally aimed at expressing gratitude toward Mary, mother of Jesus, around December 8 of each year. This Lyonnaise tradition dictates that every house place candles along the outsides of all the windows to produce a spectacular effect throughout the streets. The festival includes other activities based on light and usually lasts four days, with the peak of activity occurring on the 8th. The two main focal points of activity are typically the Basilica of Fourvière which is lit up in different colours, as well as the Place des Terreaux, which hosts a different light show each year.","Lyon, France, in December usually lines up with winter norms for travelers—short daylight and cold snaps are common—insulated layers and grippy soles matter. Lock lodging with easy access to the main festival spine in Lyon; corridors nearest the route book out first for Fête des Lumières — Lyon. Ticketed evenings for Fête des Lumières — Lyon may lock doors after start—screenshot QR tickets, arrive with buffer for bag checks at Lyon venues. Fête des Lumières — Lyon hinges on outdoor conditions around Lyon—monitor wind and precipitation the week of travel and tuck a packable waterproof in your day bag. Useful searches: “Fête des Lumières — Lyon 2026 official tickets”, “Lyon December road closures transit”, “France travel advisory”, “Fête des Lumières — Lyon Lyon visitor FAQ”.",,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/F%C3%AAte_des_Lumi%C3%A8res_%28Lyon%2C_2024%2C_place_Bellecour%29.jpg/1920px-F%C3%AAte_des_Lumi%C3%A8res_%28Lyon%2C_2024%2C_place_Bellecour%29.jpg,2
fetes-de-bayonne,fetes-de-bayonne,Fetes de Bayonne,Bayonne,France,Europe,43.4929,-1.4768,2026-07-23,2026-07-26,carnival_parade; cultural_heritage,5,5,4,4,4.5,4,Street celebrations; Summer travel; Music lovers,"We couldn’t match a solid English Wikipedia entry for “Fetes de Bayonne” automatically. If you send us a short, verifiable blurb (or a Wikipedia/Wikidata link), we’ll drop it in festival-content-manual.ts. For now: this event is associated with Bayonne, France, around your listed dates—double-check schedules with organizers.","Bayonne, France, in July usually lines up with summer heat for travelers—afternoon UV and crowds stack up—hydrate, schedule outdoor blocks earlier or later in the day. Compare stays on both sides of the core venue cluster—cross-town transit can be faster than walking when Fetes de Bayonne compresses foot traffic. Bayonne often publishes temporary parade detours only days ahead—save offline maps, favor rail where possible, and stake viewing spots well before the first float. Useful searches: “Fetes de Bayonne 2026 official tickets”, “Bayonne July road closures transit”, “France travel advisory”, “Fetes de Bayonne Bayonne visitor FAQ”.",,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Fetes_de_Bayonne_2015.jpg/1920px-Fetes_de_Bayonne_2015.jpg,2
patios-de-cordoba-festival,patios-de-cordoba-festival,Fiesta de los Patios — Córdoba,Cordoba,Spain,Europe,37.8882,-4.7794,2026-05-01,2026-05-14,seasonal; cultural_heritage,2,5,5,4,4,4,Photography; Romantic getaway; Cultural immersion,"The Courtyards Festival of Córdoba (also known as Patios Festival of Córdoba and Fiesta of the patios in Cordova) is a courtyard competition in Córdoba, Spain held since 1921 and generally held during the first and second week of the month of May. Participants decorate and open their courtyards for free so that they can be visited during festival hours. In 1980 they were declared a Fiestas of National Tourist Interest of Spain, and after a long process, they managed to be add to the Representative List of the Intangible Cultural Heritage of Humanity by UNESCO on December 6, 2012. The courtyards during the Festival are separated in two types. Monumental and stately courtyards are courtyards inside palaces of the local aristocracy or notable religious buildings. Competition courtyards are those participated in the competition.…","Cordoba, Spain, in May usually lines up with spring shoulder-season for travelers—showers swing temperature quickly—carry a compact shell plus a lighter mid-layer. If prices spike in the historic center, look at a Cordoba neighborhood one or two metro stops out, then ride in for peak sessions of Fiesta de los Patios — Córdoba. Fiesta de los Patios — Córdoba hinges on outdoor conditions around Cordoba—monitor wind and precipitation the week of travel and tuck a packable waterproof in your day bag. Useful searches: “Fiesta de los Patios — Córdoba 2026 official tickets”, “Cordoba May road closures transit”, “Spain travel advisory”, “Fiesta de los Patios — Córdoba Cordoba visitor FAQ”.",,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Interior_patio_with_chair_and_flowers_at_the_Patio_Festival_in_C%C3%B3rdoba%2C_Andaluc%C3%ADa%2C_Spain.jpg/1920px-Interior_patio_with_chair_and_flowers_at_the_Patio_Festival_in_C%C3%B3rdoba%2C_Andaluc%C3%ADa%2C_Spain.jpg,2
fiesta-de-san-isidro,fiesta-de-san-isidro,Fiesta de San Isidro,Madrid,Spain,Europe,40.4168,-3.7038,2026-05-15,2026-05-15,civic_national_holiday; cultural_heritage,4,4,4,4,4,4,Street celebrations; Music lovers; Summer travel,"Madrid’s San Isidro festival celebrates the city’s patron saint with concerts, chulapo-style dress, neighborhood events, and fairground activity, anchored around mid-May. Key venues include Pradera de San Isidro and major plazas across the city.",Check municipal programming by day because headline concerts shift venues nightly. Public transport is easiest after evening events; taxi demand spikes after midnight.,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Parque_de_San_Isidro_-_Fiesta_de_San_Isidro_2026_-_Madrid_04.jpg/1920px-Parque_de_San_Isidro_-_Fiesta_de_San_Isidro_2026_-_Madrid_04.jpg,2
fiesta-santa-marta-de-ribarteme,fiesta-santa-marta-de-ribarteme,Fiesta Santa Marta de Ribarteme,As Neves,Spain,Europe,42.0889,-8.7501,2026-07-29,2026-07-29,religious_spiritual; cultural_heritage,2,3,5,2,3,2,Religious significance; Traditional heritage; Cultural immersion,"We couldn’t match a solid English Wikipedia entry for “Fiesta Santa Marta de Ribarteme” automatically. If you send us a short, verifiable blurb (or a Wikipedia/Wikidata link), we’ll drop it in festival-content-manual.ts. For now: this event is associated with As Neves, Spain, around your listed dates—double-check schedules with organizers.","As Neves, Spain, in July usually lines up with summer heat for travelers—afternoon UV and crowds stack up—hydrate, schedule outdoor blocks earlier or later in the day. Lock lodging with easy access to the main festival spine in As Neves; corridors nearest the route book out first for Fiesta Santa Marta de Ribarteme. During Fiesta Santa Marta de Ribarteme, follow local cues on modest dress, when to silence phones, and where photography is unwelcome—processions can pause regular traffic for hours. Useful searches: “Fiesta Santa Marta de Ribarteme 2026 official tickets”, “As Neves July road closures transit”, “Spain travel advisory”, “Fiesta Santa Marta de Ribarteme As Neves visitor FAQ”.",,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/71th_Sapporo_Snow_Festival_Tube_Sliders.jpg/1920px-71th_Sapporo_Snow_Festival_Tube_Sliders.jpg,2
fiestas-del-pilar-zaragoza,fiestas-del-pilar-zaragoza,Fiestas del Pilar Zaragoza,Zaragoza,Spain,Europe,41.6488,-0.8891,2026-10-07,2026-10-15,religious_spiritual; carnival_parade; cultural_heritage,4,5,5,4,4.5,4,Street celebrations; Traditional heritage; Photography,"The Fiestas del Pilar are an annual festival celebrated in the city of Zaragoza, Aragon, in honour of the patron saint of the city, the Virgen del Pilar (Our Lady of the Pillar). The week long festival takes place every year, usually, beginning the weekend of or before 12 October, and lasts until the following Sunday. A wide variety of events are organized by the City Hall, with private companies and organizations organizing their own sponsored events, shows, contests, and other activities. While veneration of the Blessed Virgin in Zaragoza can be traced to at least the 12th century, the introduction of 12 October as the local feast day in remembrance of the Marian apparition was introduced by the city council in 1640, and approved by the Holy See in 1723.…","Zaragoza, Spain, in October usually lines up with autumn shoulder-season for travelers—days shorten and rain returns—plan indoor backups between outdoor segments. If prices spike in the historic center, look at a Zaragoza neighborhood one or two metro stops out, then ride in for peak sessions of Fiestas del Pilar Zaragoza. Zaragoza often publishes temporary parade detours only days ahead—save offline maps, favor rail where possible, and stake viewing spots well before the first float. Useful searches: “Fiestas del Pilar Zaragoza 2026 official tickets”, “Zaragoza October road closures transit”, “Spain travel advisory”, “Fiestas del Pilar Zaragoza Zaragoza visitor FAQ”.",,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Ofrenda_Floral_a_la_Virgen_del_Pilar.jpg/1920px-Ofrenda_Floral_a_la_Virgen_del_Pilar.jpg,2
fire-festivals-of-the-pyrenees,fire-festivals-of-the-pyrenees,Fire Festivals of the Pyrenees,Huesca,Spain,Europe,42.1401,-0.4081,2026-06-23,2026-06-23,seasonal; cultural_heritage,4,5,4,2,3.75,2,Summer travel; Traditional heritage; Adrenaline seekers,"The Pyrenean midsummer fire festivals mark Saint John season across mountain towns in Spain, Andorra, and France, where torch-bearing descents and communal bonfires are staged as local heritage rituals. Several traditions are recognized under UNESCO intangible heritage listings.","Mountain weather changes quickly at night; bring warm layers even in June. Road access and parking in small villages can be limited, so arrive before evening closures.",,https://upload.wikimedia.org/wikipedia/commons/d/d3/Falles_Alins_2016.jpg,2
flow-festival-helsinki,flow-festival-helsinki,Flow Festival Helsinki,Helsinki,Finland,Europe,60.1699,24.9384,2026-08-14,2026-08-16,music; arts,5,4,3,4,4,4,Music lovers; Summer travel; Nightlife,"Flow Festival (commonly known simply as Flow) is an urban music and arts festival in Helsinki, Finland. The music presented at Flow Festival is a varied selection of artists from indie rock to soul and jazz and from folk to contemporary club sounds – from both the Finnish and the international scene. In addition to music, Flow Festival is about urban spaces, visual arts, film screenings, talks, design as well as food and drinks. The event takes place at a defunct Suvilahti power plant and its industrial surroundings in downtown Helsinki's immediate vicinity. The festival showcases established musical artists but is also known for giving the stage for new and emerging artists.…","Helsinki, Finland, in August usually lines up with summer heat for travelers—afternoon UV and crowds stack up—hydrate, schedule outdoor blocks earlier or later in the day. Compare stays on both sides of the core venue cluster—cross-town transit can be faster than walking when Flow Festival Helsinki compresses foot traffic. For Flow Festival Helsinki, confirm age limits, re-entry rules, and whether the site is cashless; ear protection helps on main stages and near delay towers. Useful searches: “Flow Festival Helsinki 2026 official tickets”, “Helsinki August road closures transit”, “Finland travel advisory”, “Flow Festival Helsinki Helsinki visitor FAQ”.",,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Flow_Festival_in_Suvilahti%2C_Helsinki%2C_Finland%3B_2023_August.jpg/1920px-Flow_Festival_in_Suvilahti%2C_Helsinki%2C_Finland%3B_2023_August.jpg,2
frozen-dead-guy-days,frozen-dead-guy-days,Frozen Dead Guy Days,Nederland,United States,North America,39.9616,-105.5108,2026-03-13,2026-03-15,seasonal; music,5,4,3,2,3.5,2,Adrenaline seekers; Group trips; Music lovers,"Frozen Dead Guy Days in Nederland, Colorado celebrates a frozen Norwegian man (Trygve Bauge's grandfather, Bredo Morstoel) who has been kept in dry ice in a Tuff Shed above the town since 1989, following a deportation order that would have required removal of the body. The festival — held in mid-March at high altitude (8,228 feet) — includes coffin races, a polar plunge, frozen salmon toss, a parade of zombie Norwegians, and multiple music stages. Possibly the only festival in the world founded as an act of civil disobedience in support of a frozen dead person.","Nederland is 45 minutes from Boulder, Colorado. March at altitude means genuine cold and possible snow — the polar plunge is exactly what it sounds like. The festival draws around 10,000 people to a very small mountain town. Boulder has good accommodation options. Altitude adjustment needed if coming from sea level.",,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Frozen_Dead_Guy_Days_Nederland_Colorado.jpg/1280px-Frozen_Dead_Guy_Days_Nederland_Colorado.jpg,0
fuji-rock-festival,fuji-rock-festival,Fuji Rock Festival,Yuzawa,Japan,Asia,36.9333,138.8167,2026-07-24,2026-07-26,music,5,4,3,3,3.75,3,Music lovers; Summer travel; Solo travelers,"Fuji Rock Festival (フジロックフェスティバル, Fuji Rokku Fesutibaru) is an annual rock festival held in Naeba Ski Resort, in Niigata Prefecture, Japan. The three-day event, organized by Smash Japan, features more than 200 Japanese and international musicians, making it the largest outdoor music event in Japan. In 2005, more than 100,000 people attended the festival. Fuji Rock Festival is named so because the first event in 1997 was held at the base of Mount Fuji. Since 1999 the festival has been held at the Naeba Ski Resort in Yuzawa, Niigata.","Yuzawa, Japan, in July usually lines up with summer heat for travelers—afternoon UV and crowds stack up—hydrate, schedule outdoor blocks earlier or later in the day. Lock lodging with easy access to the main festival spine in Yuzawa; corridors nearest the route book out first for Fuji Rock Festival. For Fuji Rock Festival, confirm age limits, re-entry rules, and whether the site is cashless; ear protection helps on main stages and near delay towers. Useful searches: “Fuji Rock Festival 2026 official tickets”, “Yuzawa July road closures transit”, “Japan travel advisory”, “Fuji Rock Festival Yuzawa visitor FAQ”.",,https://upload.wikimedia.org/wikipedia/commons/d/d5/FujiGreenStage.jpg,2
gentse-feesten,gentse-feesten,Gentse Feesten,Ghent,Belgium,Europe,51.0543,3.7174,2026-07-17,2026-07-26,music; carnival_parade,5,4,3,4,4,4,Nightlife; Street celebrations; Summer travel,"The Gentse Feesten (Dutch pronunciation: [ˈɣɛntsə ˈfeːstə(n)]; in Ghent dialect Gense Fieste; ""Ghent Festival"") is an annual music and theatre festival in Ghent, Belgium. Besides stage events, there are street acts such as mimes and buskers. It has been held for more than 50 years (since 1969) and is attended by about 1–1.5 million visitors.","Ghent, Belgium, in July usually lines up with summer heat for travelers—afternoon UV and crowds stack up—hydrate, schedule outdoor blocks earlier or later in the day. Lock lodging with easy access to the main festival spine in Ghent; corridors nearest the route book out first for Gentse Feesten. Ghent often publishes temporary parade detours only days ahead—save offline maps, favor rail where possible, and stake viewing spots well before the first float. Useful searches: “Gentse Feesten 2026 official tickets”, “Ghent July road closures transit”, “Belgium travel advisory”, “Gentse Feesten Ghent visitor FAQ”.",,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Gentse_Feesten_2014_07.JPG/1920px-Gentse_Feesten_2014_07.JPG,2
george-enescu-festival,george-enescu-festival,George Enescu Festival,Bucharest,Romania,Europe,44.4268,26.1025,2026-08-28,2026-09-27,music; arts,2,5,5,3,3.75,3,Music lovers; Cultural immersion; Luxury travel,"The George Enescu Festival (also known as George Enescu International Festival and Competition), held in honor of the celebrated Romanian composer George Enescu, is the biggest classical music festival and classical international competition held in Romania and one of the biggest in Eastern Europe. The festival proposal was authored by Andrei Tudor in 1955. Enescu's close associate George Georgescu organized the first festival in 1958; highlights included a performance of Bach's Concerto for Two Violins with Yehudi Menuhin and David Oistrakh as soloists and a staging of Enescu's sole opera, Œdipe, with Constantin Silvestri conducting. The official opening day of the Enescu Festival took place on 4 September 1958, merely three years after George Enescu's death.…","Bucharest, Romania, in August usually lines up with summer heat for travelers—afternoon UV and crowds stack up—hydrate, schedule outdoor blocks earlier or later in the day. If prices spike in the historic center, look at a Bucharest neighborhood one or two metro stops out, then ride in for peak sessions of George Enescu Festival. For George Enescu Festival, confirm age limits, re-entry rules, and whether the site is cashless; ear protection helps on main stages and near delay towers. Useful searches: “George Enescu Festival 2026 official tickets”, “Bucharest August road closures transit”, “Romania travel advisory”, “George Enescu Festival Bucharest visitor FAQ”.",,https://upload.wikimedia.org/wikipedia/commons/f/fd/Dirijorul_Paavo_J%C3%A4rvi_pe_scena_S%C4%83lii_Palatului_din_Bucure%C8%99ti%2C_%C3%AEn_cadrul_edi%C8%9Biei_2013_a_Festivalului_Enescu.jpg,2
gion-matsuri,gion-matsuri,Gion Matsuri,Kyoto,Japan,Asia,35.0116,135.7681,2026-07-01,2026-07-31,religious_spiritual; historical; cultural_heritage,3,5,5,4,4.25,4,Cultural immersion; Traditional heritage; Street rituals,"The Gion Festival (祇園祭, Gion Matsuri) is one of the largest and most famous festivals in Japan, taking place annually during the month of July in Kyoto. Many events take place in central Kyoto and at the Yasaka Shrine, the festival's patron shrine, located in Kyoto's famous Gion district, which gives the festival its name. It is formally a Shinto festival, and its original purposes were purification and pacification of disease-causing entities. There are many ceremonies held during the festival, but it is best known for its two Yamaboko Junkō (山鉾巡行) processions of floats, which take place on July 17 and 24. The three nights leading up to each day of a procession are sequentially called yoiyoiyoiyama (宵々々山), yoiyoiyama (宵々山), and yoiyama (宵山).…","Kyoto, Japan, in July usually lines up with summer heat for travelers—afternoon UV and crowds stack up—hydrate, schedule outdoor blocks earlier or later in the day. Lock lodging with easy access to the main festival spine in Kyoto; corridors nearest the route book out first for Gion Matsuri. During Gion Matsuri, follow local cues on modest dress, when to silence phones, and where photography is unwelcome—processions can pause regular traffic for hours. Useful searches: “Gion Matsuri 2026 official tickets”, “Kyoto July road closures transit”, “Japan travel advisory”, “Gion Matsuri Kyoto visitor FAQ”.",,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Yoiyama_-_The_Gion_Festival_-_July_14%2C_2008.jpg/1920px-Yoiyama_-_The_Gion_Festival_-_July_14%2C_2008.jpg,2
gion-matsuri-yamaboko,gion-matsuri-yamaboko,Gion Matsuri Yamaboko Junko,Kyoto,Japan,Asia,35.0116,135.7681,2026-07-17,2026-07-24,cultural_heritage; religious_spiritual,4,5,5,5,4.75,5,Cultural immersion; Traditional heritage; Photography,"The Yamaboko Junko processions are the centrepiece of Kyoto's month-long Gion Matsuri — Japan's most famous festival. On July 17 and 24, enormous wooden floats (some 25 metres tall and weighing 12 tonnes) are pulled through the city centre by teams of men in traditional dress. The floats carry musicians playing the haunting Gion bayashi music and are decorated with Nishijin-ori tapestries, some dating to the 16th century. UNESCO Intangible Cultural Heritage. The evenings before each procession (Yoiyama) are street festivals with stalls and open float viewing.",Book Kyoto accommodation 4–6 months out for July — the city fills completely. July is hot and humid; light cotton clothing essential. The Yoiyama evenings (July 15–16 and 23) are less crowded than procession days and equally atmospheric. Subway and bus access to the route; cars are banned.,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Gion_Matsuri_Yamaboko_Junko.jpg/1280px-Gion_Matsuri_Yamaboko_Junko.jpg,0
