Rank	Name	City	Country	Continent	Start	End	Party	Visual	Cultural	Tourism	Avg Pulse	Event Types	Best For	Description
71	Fiesta de San Isidro	Madrid	Spain	Europe	2026-05-15	2026-05-15	4	4	4	4	4	civic_national_holiday, cultural_heritage	Street celebrations, Music lovers, Summer travel	Madrid’s San Isidro festival celebrates the city’s patron saint with concerts, chulapo-style dress, neighborhood events, and fairground activity, anchored around mid-May. Key venues include Pradera de San Isidro and major plazas across the city.
72	Fiestas del Pilar Zaragoza	Zaragoza	Spain	Europe	2026-10-07	2026-10-15	4	5	5	4	4.5	religious_spiritual, carnival_parade, cultural_heritage	Street celebrations, Traditional heritage, Photography	The Fiestas del Pilar are an annual festival celebrated in the city of Zaragoza, Aragon, in honour of the patron saint of the city, the Virgen del Pilar (Our Lady of the Pillar). The week long festival takes place every year, usually, beginning the weekend of or before 12 October, and lasts until the following Sunday. A wide variety of events are organized by the City Hall, with private companies and organizations organizing their own sponsored events, shows, contests, and other activities. While veneration of the Blessed Virgin in Zaragoza can be traced to at least the 12th century, the introduction of 12 October as the local feast day in remembrance of the Marian apparition was introduced by the city council in 1640, and approved by the Holy See in 1723.…
73	Flow Festival Helsinki	Helsinki	Finland	Europe	2026-08-14	2026-08-16	5	4	3	4	4	music, arts	Music lovers, Summer travel, Nightlife	Flow Festival (commonly known simply as Flow) is an urban music and arts festival in Helsinki, Finland. The music presented at Flow Festival is a varied selection of artists from indie rock to soul and jazz and from folk to contemporary club sounds – from both the Finnish and the international scene. In addition to music, Flow Festival is about urban spaces, visual arts, film screenings, talks, design as well as food and drinks. The event takes place at a defunct Suvilahti power plant and its industrial surroundings in downtown Helsinki's immediate vicinity. The festival showcases established musical artists but is also known for giving the stage for new and emerging artists.…
74	Gentse Feesten	Ghent	Belgium	Europe	2026-07-17	2026-07-26	5	4	3	4	4	music, carnival_parade	Nightlife, Street celebrations, Summer travel	The Gentse Feesten (Dutch pronunciation: [ˈɣɛntsə ˈfeːstə(n)]; in Ghent dialect Gense Fieste; "Ghent Festival") is an annual music and theatre festival in Ghent, Belgium. Besides stage events, there are street acts such as mimes and buskers. It has been held for more than 50 years (since 1969) and is attended by about 1–1.5 million visitors.
75	Gion Matsuri	Kyoto	Japan	Asia	2026-07-01	2026-07-31	3	5	5	4	4.25	religious_spiritual, historical, cultural_heritage	Cultural immersion, Traditional heritage, Street rituals	The Gion Festival (祇園祭, Gion Matsuri) is one of the largest and most famous festivals in Japan, taking place annually during the month of July in Kyoto. Many events take place in central Kyoto and at the Yasaka Shrine, the festival's patron shrine, located in Kyoto's famous Gion district, which gives the festival its name. It is formally a Shinto festival, and its original purposes were purification and pacification of disease-causing entities. There are many ceremonies held during the festival, but it is best known for its two Yamaboko Junkō (山鉾巡行) processions of floats, which take place on July 17 and 24. The three nights leading up to each day of a procession are sequentially called yoiyoiyoiyama (宵々々山), yoiyoiyama (宵々山), and yoiyama (宵山).…
76	Greek Orthodox Easter	Athens	Greece	Europe	2026-04-10	2026-04-13	2	4	5	4	3.75	religious_spiritual, seasonal	Religious significance, Cultural immersion, Family-friendly	Greek Orthodox Easter in Athens is one of the country’s major religious periods, with Holy Week services, candlelit Saturday night liturgy, and family celebrations on Easter Sunday. Timing follows the Orthodox ecclesiastical calendar and may differ from Western Easter dates.
77	Guy Fawkes Night	London	United Kingdom	Europe	2026-11-05	2026-11-05	3	5	3	4	3.75	civic_national_holiday, historical	Photography, Winter travel, Family-friendly	Guy Fawkes Night, also known as Guy Fawkes Day, Bonfire Night and Fireworks Night, is an annual commemoration observed on 5 November, primarily in Great Britain, involving bonfires and fireworks displays. Its history begins with the events of 5 November 1605 O.S., when Guy Fawkes, a member of the Gunpowder Plot, was arrested while guarding explosives the plotters had placed beneath the House of Lords. The Catholic plotters had intended to assassinate Protestant King James I and his parliament. Celebrating that the king had survived, people lit bonfires around London. Months later, the Observance of 5th November Act 1605 (3 Jas. 1. c. 1) mandated an annual public day of thanksgiving for the plot's failure. Within a few decades Gunpowder Treason Day, as it was known, became the predominant English state commemoration.…
78	Hafengeburtstag Hamburg	Hamburg	Germany	Europe	2026-05-08	2026-05-10	4	5	3	4	4	civic_national_holiday, seasonal	Photography, Family-friendly, Street celebrations	Hafengeburtstag (lit. Harbour Birthday, Port Anniversary) is an annual public festival and funfair in Hamburg, Germany. It takes place mostly on the first weekend of May to celebrate the anniversary of the port of Hamburg, the largest in Germany. In 2019, the 830th birthday was celebrated and a new record was set; more than a million spectators, among them many tourists from abroad, visited the city.
79	Harbin International Ice and Snow Festival	Harbin	China	Asia	2026-01-05	2026-02-25	3	5	3	4	3.75	seasonal, arts	Photography, Winter travel, Family-friendly	Harbin Ice and Snow Festival is the world's largest ice and snow festival — a city built entirely from ice and snow that takes months to construct. Ice City (Bingxue Dacheng) spans over 600,000 square metres and contains replicas of world landmarks, original ice architecture, ice slides, and entire boulevards built from coloured ice blocks. At night, internal LED lighting turns the city into a glowing multicoloured dreamscape. The temperatures that make this possible (averaging -20°C in January) are the same temperatures visitors must endure.
80	Holi in Vrindavan	Vrindavan	India	Asia	2026-03-02	2026-03-06	5	5	4	4	4.5	religious_spiritual, cultural_heritage	Cultural immersion, Adrenaline seekers, Photography	Holi in Vrindavan, the sacred city associated with Krishna, begins a week before the main festival date — making it the longest and most intense Holi celebration in India. The Banke Bihari Temple hosts the famous phoolon wali Holi (flowers instead of colour) and lathmar Holi (women playfully beat men with sticks). The streets of Vrindavan are ankle-deep in colour by the main day. The combination of religious significance, community energy, and sheer chromatic intensity makes Vrindavan's Holi the definitive version of an already extraordinary festival.
81	Iceland Airwaves	Reykjavik	Iceland	Europe	2026-11-05	2026-11-08	5	4	4	4	4.25	music, arts	Music lovers, Winter travel, Nightlife	Iceland Airwaves is a music festival held annually in November in Reykjavík, Iceland, since 1999. Its main focus is showcasing new music, both Icelandic and international.
82	International Kite Festival	Ahmedabad	India	Asia	2026-01-14	2026-01-14	4	5	3	4	4	seasonal, arts	Photography, Family-friendly, Cultural immersion	The International Kite Festival in Ahmedabad, held on Makar Sankranti (January 14), turns the sky over the city into a continuous tapestry of thousands of kites. The festival celebrates the end of winter and the harvest season. Professional kite flyers from countries including China, Japan, France, USA, and across India participate with enormous display kites, fighter kites, and novelty designs. The rooftops of Ahmedabad's old city are packed with families flying kites from dawn. The sky at peak afternoon can have hundreds of kites in view simultaneously.
83	Isle of Man TT	Douglas	Isle of Man	Europe	2026-05-29	2026-06-12	5	4	2	4	3.75	seasonal	Adrenaline seekers, Summer travel, Group trips	The Isle of Man TT (Tourist Trophy; sometimes TT) races are an annual motorcycle racing event held on the Isle of Man in May and June of mostly every year since its inaugural race in 1907. The two-week event is sanctioned by the Auto-Cycle Union, which also organises the event. The Manx government owns the rights to and promotes the event. The Isle of Man TT is a series of time-trial format races, run on public roads closed for racing. The event consists of one week of practice and qualifying sessions, followed by one week of racing. The closed public roads form the Snaefell Mountain Course, a 37.73-mile (60.72 km) route containing 219 turns that traverses through a mix of urban and rural areas. The event currently features 5 different classes of road racing, each competing in two races over the course of the racing week.…
84	Istanbul Tulip Festival	Istanbul	Turkey	Asia	2026-04-01	2026-04-30	2	5	3	4	3.5	seasonal, arts	Photography, Romantic getaway, Cultural immersion	Istanbul plants over 30 million tulips across its parks and public spaces for the annual April Tulip Festival — a reminder that tulips originated in Central Asia and Anatolia, not the Netherlands. Emirgan Park is the most famous location, with themed tulip displays and Ottoman pavilions above the Bosphorus. The tulip (lale in Turkish) is a recurring motif in Ottoman art and tile work; seeing the actual flowers against Topkapi Palace or the Bosphorus bridges contextualises the symbol. Peak bloom is typically the second and third week of April.
85	Koenji Awa Odori	Tokyo	Japan	Asia	2026-08-29	2026-08-30	5	4	4	4	4.25	music, cultural_heritage	Cultural immersion, Music lovers, Local authenticity	Koenji's version of Awa Odori brings the Tokushima dance tradition to Tokyo in the most energetic urban setting. Over 10,000 dancers and 600,000 spectators pack the streets of Koenji — a neighbourhood known for its vintage shops and counter-culture energy. The Koenji version is faster and more rock-influenced than the traditional Tokushima original. The narrow shopping street arcades amplify the drumming into something overwhelming. The whole neighbourhood closes its roads and surrenders to the dance.
86	La Crema de las Fallas	Valencia	Spain	Europe	2026-03-19	2026-03-19	5	5	4	4	4.5	cultural_heritage, seasonal	Photography, Cultural immersion, Adrenaline seekers	The Crema (burning) on the final night of Las Fallas is one of Europe's most spectacular single events — 700+ enormous papier-mâché monuments (ninots), some 30 metres tall and representing months of artistic work, are set alight simultaneously across Valencia. The heat from the largest burning is felt 50 metres away. Fire crews manage controlled conflagrations in the middle of residential streets while thousands watch from metres away. Only one monument is saved (by public vote) annually; the rest burn. The combination of art, destruction, noise, and heat is overwhelming.
87	Luminara di San Ranieri	Pisa	Italy	Europe	2026-06-16	2026-06-16	3	5	5	4	4.25	religious_spiritual, seasonal, cultural_heritage	Photography, Romantic getaway, Religious significance	We couldn’t match a solid English Wikipedia entry for “Luminara di San Ranieri” automatically. If you send us a short, verifiable blurb (or a Wikipedia/Wikidata link), we’ll drop it in festival-content-manual.ts. For now: this event is associated with Pisa, Italy, around your listed dates—double-check schedules with organizers.
88	Madeira Carnival	Funchal	Portugal	Europe	2026-02-14	2026-02-18	4	5	3	4	4	carnival_parade	Street celebrations, Winter travel, Photography	The Carnival of Madeira (Portuguese: Carnaval da Madeira) is an annual festival held forty days before Easter, that ends on Shrove Tuesday (called Fat Tuesday in Madeira - Terça-feira Gorda in Portuguese) the day before Ash Wednesday (first day of Lent). On certain days of Lent, Roman Catholics traditionally abstained from the consumption of meat and poultry, hence the term "carnival," from carnelevare, "to remove (literally, "raise") meat."
89	Madeira Flower Festival	Funchal	Portugal	Europe	2026-05-02	2026-05-11	3	5	4	4	4	seasonal, carnival_parade, cultural_heritage	Photography, Romantic getaway, Traditional heritage	A flower parade is a parade in which the floats, vehicles, boats, participants, animals and other things are decorated or covered in flowers. Often there are other elements like marching bands and people in costumes. Flower parades are held in several countries, many of which celebrate the forthcoming of the seasons. The oldest flower parade dates back to the 1800s. The culture of flower and fruit parades in the Netherlands is inscribed with the International Representative List of Intangible Cultural Heritage of Humanity of Unesco.
90	Malta Carnival	Valletta	Malta	Europe	2026-02-13	2026-02-17	4	5	4	4	4.25	carnival_parade, cultural_heritage	Island carnival, Costumes, Mediterranean city breaks	Carnival (Maltese: il-Karnival ta' Malta) has had an important place on the Maltese cultural calendar for just under five centuries, having been celebrated since at least the mid-15th century. Carnival has been a prominent celebration in the islands since the rule of Grand Master Piero de Ponte in 1535. The carnival is held during the week leading up to Ash Wednesday, and typically includes masked balls, fancy dress and grotesque mask competitions, lavish late-night parties, a colourful, ticker-tape parade of allegorical floats presided over by King Carnival (Maltese: ir-Re tal-Karnival), marching bands and costumed revellers.
91	Malta International Fireworks Festival	Valletta	Malta	Europe	2026-04-18	2026-04-30	4	5	2	4	3.75	seasonal, arts	Photography, Romantic getaway, Nightlife	The Malta International Fireworks Festival is a multi-day pyrotechnic program, usually in spring, with displays around the Grand Harbour (Valletta area) and often a Gozo leg. Teams compete in choreographed shows combining fireworks and music, capped by a closing spectacle.
92	Menton Lemon Festival (Fête du Citron)	Menton	France	Europe	2026-02-14	2026-03-03	3	5	3	4	3.75	seasonal, carnival_parade	Photography, Winter travel, Street celebrations	Fête du Citron (Occitan: Festival de Limòn) is a carnival event organised by the tourist office of the city of Menton, France, and held every year at the end of winter. It is also sometimes called Carnaval de Menton (Carnival of Menton). The festival, held every year in mid-February, celebrates the annual production of specialty lemons and other citrus fruit in Menton. All of the floats and sculptures present at the carnival are created from lemons and oranges. Fête du Citron has been recognised by the Ministry of Culture of France, and it was entered in the inventory of intangible cultural heritage in 2019.
93	Montreux Jazz Festival	Montreux	Switzerland	Europe	2026-07-03	2026-07-18	4	5	4	4	4.25	music, arts	Music lovers, Luxury travel, Summer travel	The Montreux Jazz Festival (formerly Festival de Jazz Montreux and Festival International de Jazz Montreux) is a music festival in Switzerland, held annually in early July in Montreux on the Lake Geneva shoreline. It is the second-largest annual jazz festival in the world after Canada's Montreal International Jazz Festival. Initiator and head organizer Claude Nobs brought an array of artists to Montreux. Mathieu Jaton has organised the festival since Nobs' death in 2013.
94	Mosta Assumption Feast	Mosta	Malta	Europe	2026-08-09	2026-08-15	4	5	4	4	4.25	religious_spiritual, carnival_parade, cultural_heritage	Religious significance, Photography, Street celebrations	The Assumption of Mary is a Catholic dogma that Mary, at the end of her earthly life, was taken body and soul into heaven, defined by Pope Pius XII on 1 November 1950 in his apostolic constitution Munificentissimus Deus. It is celebrated on 15 August. It leaves open the question of whether Mary died or whether she was raised to eternal life without bodily death. The equivalent belief in the Eastern Christianity is the Dormition of the Mother of God or the "Falling Asleep of the Mother of God". In the Lutheran Churches, 15 August is celebrated as the Feast of St. Mary. A number of Anglican denominations observe 15 August under various titles, including the Feast of Saint Mary the Virgin or the Falling Asleep of the Blessed Virgin Mary. The word 'assumption' derives from the Latin word assūmptiō, meaning 'taking up'.
95	Mysuru Dasara	Mysuru	India	Asia	2026-10-02	2026-10-11	5	5	5	4	4.75	cultural_heritage, religious_spiritual	Cultural immersion, Traditional heritage, Photography	Mysuru Dasara is arguably India's most regal festival — a 10-day celebration of the goddess Chamundeshwari that culminates in the Vijayadashami procession. The Mysore Palace is illuminated with 100,000 lights every evening throughout the festival. The final day procession features a golden howdah (palanquin) mounted on a decorated elephant carrying the idol of the goddess, accompanied by tableaux, music, and thousands of participants in royal dress. The Maharaja of Mysore has sponsored this festival since the 14th century.
96	Open'er Festival Gdynia	Gdynia	Poland	Europe	2026-07-01	2026-07-04	5	5	2	4	4	music	Music lovers, Summer travel, Group trips	The Open'er Festival is a music festival which takes place on the north coast of Poland, in Gdynia. It is one of the biggest annual music festivals in Poland. The first edition of the festival was organized in Warsaw in 2002 as Open Air Festival. Open’er Festival won the Best Major Festival prize at the European Festivals Awards ceremony in 2009, 2010, 2019, and 2024.
97	Orthodox Easter Corfu	Corfu	Greece	Europe	2026-04-10	2026-04-12	3	5	5	4	4.25	religious_spiritual, seasonal, cultural_heritage	Religious significance, Cultural immersion, Photography	Easter, also called Pasch () or Pascha or Resurrection Sunday, is a Christian festival and cultural holiday commemorating the resurrection of Jesus from the dead, described in the Bible's New Testament as having occurred on the third day of his burial following his crucifixion by the Romans at Calvary c. 30 AD. It is the culmination of the Passion of Jesus, preceded by Lent (or Great Lent), a 40-day period of fasting, prayer, and penance. Easter-observing Christians commonly refer to the last week of Lent, before Easter, as Holy Week, which in Western Christianity begins on Palm Sunday (marking the entrance of Jesus in Jerusalem), includes Spy Wednesday (on which the betrayal of Jesus is mourned), and contains the days of the Easter Triduum including Maundy Thursday, commemorating the Maundy and Last Supper, as well as Good Friday, commemorating the crucifixion and death of Jesus.…
98	Paleni Carodejnic Prague	Prague	Czech Republic	Europe	2026-04-30	2026-04-30	4	5	4	4	4.25	seasonal, carnival_parade, cultural_heritage	Street celebrations, Photography, Nightlife	Walpurgis Night (), an abbreviation of Saint Walpurgis Night (from the German Sankt-Walpurgisnacht [zaŋkt valˈpʊʁɡɪsˌnaxt]), also known as Saint Walpurga's Eve (alternatively spelled Saint Walburga's Eve) and Walpurgisnacht, is the eve of the Christian feast day of Saint Walpurga, an 8th-century abbess in Francia, and is celebrated on the night of 30 April and the day of 1 May. This feast commemorates the canonization of Saint Walpurga and the movement of her relics to Eichstätt, both of which occurred on 1 May 870. Saint Walpurga was hailed by the Christians of Germany for battling "pest, rabies, and whooping cough, as well as against witchcraft". Christians prayed to God through the intercession of Saint Walpurga in order to protect themselves from witchcraft, as Saint Walpurga was successful in converting the local populace to Christianity.…
99	Palio di Siena	Siena	Italy	Europe	2026-07-02	2026-08-16	4	5	5	4	4.5	historical, cultural_heritage	Adrenaline seekers, Traditional heritage, Group trips	The Palio di Siena (pronounced [ˈpaːljo di ˈsjɛːna]; known locally simply as Il Palio; from Latin pallium) is a horse race held twice each year, on 2 July and 16 August, in Siena, Italy. Ten horses and riders, bareback and dressed in the appropriate colours, represent ten of the seventeen contrade, or city wards, in a tradition dating back to the 17th century. The Palio held on 2 July is named Palio di Provenzano, in honour of the Madonna of Provenzano, a Marian devotion particular to Siena which developed around an icon from the Terzo Camollia area of the city. The Palio held on 16 August is named Palio dell'Assunta, in honour of the Assumption of Mary.…
100	Pingxi Sky Lantern Festival	Pingxi	Taiwan	Asia	2026-02-27	2026-03-01	4	5	4	4	4.25	seasonal, cultural_heritage	Photography, Romantic getaway, Traditional heritage	The Pingxi Sky Lantern Festival (Chinese: 平溪天燈節; Tongyong Pinyin: Píngsī Tiāndēng Jié; Tâi-lô: Pîng-khe thian-ting-tsiat) is an annual festival held in Pingxi District of New Taipei City, Taiwan, during the Taiwan Lantern Festival, which marks the end of the Lunar New Year celebrations. The event is known for the release of large numbers of sky lanterns into the night sky, often bearing written wishes or prayers. Originally a local custom, the festival gained wider recognition around the turn of the 21st century and now attracts visitors from across Taiwan and abroad.
101	Prague Spring International Music Festival	Prague	Czech Republic	Europe	2026-05-12	2026-06-03	2	4	5	4	3.75	music, arts	Music lovers, Cultural immersion, Luxury travel	The Prague Spring International Music Festival (Czech: Mezinárodní hudební festival Pražské jaro, commonly Czech: Pražské jaro, Prague Spring) is a classical music festival held every year in Prague, Czech Republic, with symphony orchestras and chamber music ensembles from around the world. The first festival was held in 1946 under the patronage of Czechoslovak president Edvard Beneš, and its organizing committee was made up of important figures in Czech musical life. In that year, the Czech Philharmonic Orchestra was celebrating its fiftieth anniversary and was therefore granted to appear in all of the orchestral concerts. The project was initiated by Rafael Kubelík, chief conductor of the orchestra at the time.…
102	Pukkelpop	Hasselt	Belgium	Europe	2026-08-20	2026-08-23	5	4	2	4	3.75	music	Music lovers, Summer travel, Group trips	Pukkelpop is an annual music festival that takes place near the city of Hasselt, Belgium in mid- to late August. It is held within a large enclosure of fields and woodland—adjacent to a dual carriageway called Kempische Steenweg—in the village of Kiewit, approximately 7 km north of Hasselt. It is one of the largest music festivals in Belgium, with an attendance of 180,000 over the course of the event in 2009. The program is noted for its wide variety of alternative music, spanning styles such as rock, pop, electronic, dance, hip-hop, punk and heavy metal. The event's organizers aim for a "progressive and contemporary" musical event.…
103	Qingdao International Beer Festival	Qingdao	China	Asia	2026-08-15	2026-08-30	5	3	2	4	3.5	seasonal, food_drink	Nightlife, Group trips, Food travel	Qingdao International Beer Festival is Asia's largest beer festival and draws comparisons to Munich's Oktoberfest — though the scale of Qingdao (the largest city on China's eastern coast) gives it a different energy. Over 4 million visitors over two weeks consume beer from over 300 brands across several festival zones along the coast. Tsingtao's home city hosts the event in the Sifang Beer City, with concerts, foam parties, and a general atmosphere of coastal summer hedonism.
104	Ramadan in Dubai	Dubai	UAE	Asia	2026-02-17	2026-03-18	2	3	5	4	3.5	religious_spiritual, cultural_heritage, food_drink	Cultural immersion, Food travel, Local authenticity	Experiencing Ramadan in Dubai reveals the city beneath the gloss. After iftar (the sunset breaking of the fast), the streets transform: iftar tents serving elaborate buffets fill hotel forecourts, the old Al Fahidi district fills with Arabic music and lanterns, the spice and gold souks extend their hours, and the city operates on a nocturnal schedule that continues past 3am. Suhoor (the pre-dawn meal) is a social institution with restaurants serving until Fajr (dawn prayer). Daytime is quiet; nights are the city at its most authentically Gulf.
105	Regata Storica	Venice	Italy	Europe	2026-08-30	2026-09-06	3	5	5	4	4.25	historical, cultural_heritage	Traditional heritage, Romantic getaway, Cultural immersion	Regatta in Venice is a small oil-on canvas-painting executed c. 1770 by the Italian painter Francesco Guardi. It is now in The Frick Collection, in New York. The painting was gifted to the museum by Helen Clay Frick, the daughter of Henry Clay Frick, who founded the Frick Collection. The painting depicts the Grand Canal (Venice). In the distance the Rialto Bridge is visible alongside the bell tower of the church of San Bartolomeo and the dome of the Church of Santi Giovanni e Paolo, Venice. Guardi has included this fifteenth century Italian Gothic Church as well as the more recent seventeenth century bell tower, documenting both historical and contemporary changes in the urban landscape. In the foreground of the painting Guardi paints the Palazzo Balbi built by Alessandro Vittoria from 1582 as the residence of the Venetian patrician family of the Balbi.…
106	Rock am Ring	Nuerburg	Germany	Europe	2026-06-05	2026-06-07	5	5	2	4	4	music	Music lovers, Adrenaline seekers, Group trips	The Rock am Ring (German for "Rock at [the] Ring") and Rock im Park ("Rock in [the] Park") festivals are two simultaneous rock music festivals held annually in Germany. While Rock am Ring takes place at the Nürburgring race track paddock at the village of Nürburg, Rock im Park takes place some 200 miles away in Nuremberg, at the Zeppelinfeld which also is used as a race track paddock. Rock am Ring festival was founded by Marek Lieberberg in 1985. The two festivals are usually regarded as one event sharing nearly identical lineups. All artists perform one day at the Nürburgring and another day in Nuremberg during the three-day event. There have been minor exceptions in the past years where an artist would be announced for one of the festivals only.…
107	Rockwave Festival	Athens	Greece	Europe	2026-07-04	2026-07-06	5	5	2	4	4	music	Music lovers, Summer travel, Adrenaline seekers	Rockwave Festival is a rock festival that takes place in Malakasa, Greece, near Athens. It is one of the most famous music festivals in Greece. The festival's history begins in 1996, but its popularity has spread since 2004. The festival's location was constantly being changed until 2004, when event park TerraVibe Park, located in Attica, became the permanent venue of the festival.
108	Romeria del Rocio	Almonte	Spain	Europe	2026-05-30	2026-06-01	3	4	5	4	4	religious_spiritual, cultural_heritage, seasonal	Religious significance, Traditional heritage, Cultural immersion	The Romería de El Rocío is a procession/pilgrimage on the second day of Pentecost to the Hermitage of El Rocío in the countryside of Almonte (Huelva), Andalucia, Spain, in honor of the Virgin of El Rocío. In recent years the Romería has brought together roughly a million pilgrims each year. The pilgrimage dates from 1653, when the Virgin of Las Rocinas was appointed patron saint of Almonte. Originally it took place on 8 September. Since 1758, the Virgin has been known as the Virgin of El Rocío, and the pilgrimage has taken place on the second day of Pentecost.
109	Roskilde Festival	Roskilde	Denmark	Europe	2026-06-27	2026-07-04	5	5	2	4	4	music	Music lovers, Summer travel, Nightlife	The Roskilde Festival is a Danish music festival held annually south of Roskilde. It is one of the largest music festivals in Europe and the largest in the Nordic countries. It was created in 1971 by two high school students and a promoter. In 1972, the festival was taken over by the Roskilde Foundation, which has since run the festival as a non-profit organization for development and support of music, culture and humanism. In 2014, the Roskilde Foundation provided festival participants with the opportunity to nominate and vote upon which organizations should receive funds raised by the festival. The Roskilde Festival was Denmark's first music-oriented festival created for hippies, and today covers more of the mainstream youth from Scandinavia and the rest of Europe. Most festival visitors are Danes, but there are also many visitors from elsewhere, especially the other Scandinavian countries and Germany.
110	Rotterdam Summer Carnival	Rotterdam	Netherlands	Europe	2026-07-26	2026-07-26	5	5	3	4	4.25	carnival_parade, music	Street celebrations, Summer travel, Music lovers	The Summer Carnaval (Dutch: Zomercarnaval) is an annual event in the Dutch city Rotterdam. It mimics the Carnaval of Latin America and the Dutch Caribbean (Aruba, Bonaire & Curacao). The Summer Carnival offers people an opportunity to celebrate Carnival in such a manner. The Dutch city of Arnhem used to organize Rio on the Rhine, which attracted more than 150.000 visitors, while the Rotterdam event attracts nearly a million visitors yearly. Summer Carnaval is often compared to Karneval der Kulturen (Berlin) and Notting Hill Carnival (London). In 2001 the Carnival was honoured with the prestigious Dutch Prince Claus Award, for their work in promoting the positive contribution of Antillean culture to Dutch society.
111	Sagra del Tartufo Alba	Alba	Italy	Europe	2026-10-09	2026-10-11	3	4	4	4	3.75	food_drink, seasonal	Food travel, Luxury travel, Photography	Tuber magnatum, the white truffle (Italian: tartufo bianco d'Alba), is a species of truffle in the order Pezizales and family Tuberaceae. It is mainly found in Italy, but also in other parts of Southern Europe, as well as Thailand.
112	Salzburg Festival	Salzburg	Austria	Europe	2026-07-18	2026-08-31	2	5	5	4	4	arts, music	Music lovers, Cultural immersion, Luxury travel	The Salzburg Festival (German: Salzburger Festspiele) is a prominent festival of music and drama established in 1920. It is held each summer, for five weeks starting in late July, in Salzburg, Austria, the birthplace of Wolfgang Amadeus Mozart. Mozart's operas are a focus of the festival; one highlight is the annual performance of Hofmannsthal's play Jedermann (Everyman). Since 1967, an annual Salzburg Easter Festival has also been held, organized by a separate organization.
113	San Juan Bonfires (Hogueras) — Alicante	Alicante	Spain	Europe	2026-06-20	2026-06-24	5	5	4	4	4.5	seasonal, carnival_parade, cultural_heritage	Photography, Summer travel, Street celebrations	The Bonfires of Saint John (Valencian: Fogueres de Sant Joan, Spanish: Hogueras de San Juan) are a traditional and popular festival celebrated in the city of Alicante, Spain, from 19 to 24 June. The celebration ultimately stems from a tradition of bonfires for Saint John's Eve that can be found in many places, among them the Mediterranean coast of Spain, especially Catalonia, Galicia and the Valencian Community; in Alicante (Valencian: Alacant), it's the official and most important festivity in the city. It was officially declared as a Fiesta of International Tourist Interest in 1983 and a Bien de Interés Cultural in 2014.
114	Santos Populares Lisbon	Lisbon	Portugal	Europe	2026-06-12	2026-06-13	5	4	4	4	4.25	carnival_parade, music, cultural_heritage	Street celebrations, Nightlife, Food travel	The Marchas Populares (Popular Marches) are a Portuguese tradition that dates back to 1932, when the first event took place in the capital city of Lisbon, under the direction of Leitão de Barros. It is one of several events that take place in the month of June as a celebration of the Portuguese Midsummer. The Marchas are typically held at night, in the eve of a religious holiday. They consist of a thematic competition between teams that dress up with handmade outfits to march and dance through an open avenue or closed arena to the sound of popular music, mixing motifs of Portuguese summer culture, like "manjerico" and the sea. The participants of the several teams are usually residents of a certain neighbourhood, students, or members of a local organization.
115	Scarlet Sails	Saint Petersburg	Russia	Europe	2026-06-20	2026-06-21	4	5	3	4	4	civic_national_holiday, arts	Summer travel, Romantic getaway, Photography	Scarlet Sails may refer to: Scarlet Sails (film), a 1961 Soviet film starring Vasily Lanovoy and Anastasiya Vertinskaya Scarlet Sails (novel), a 1923 novel by Alexander Grin, basis for the film Scarlet Sails (tradition), a ceremony during the White Nights Festival in St. Petersburg, Russia Scarlet Sails (band), an American indie rock band
116	Scoppio del Carro	Florence	Italy	Europe	2026-04-05	2026-04-05	3	5	5	4	4.25	religious_spiritual, historical, cultural_heritage	Religious significance, Traditional heritage, Photography	The Scoppio del Carro ("Explosion of the Cart") is a folk tradition of Florence, Italy. On Easter Sunday, a cart, packed full of fireworks and other pyrotechnics, is lit and provides a historic spectacle in the civic life of the city.
117	Sea Dance Festival	Budva	Montenegro	Europe	2026-08-28	2026-08-30	5	4	2	4	3.75	music	Music lovers, Summer travel, Nightlife	Sea Dance Festival (Serbo-Croatian: Si dens festival / Си денс фестивал) was a summer music festival. It has been held at Jaz Beach in Budva since 2014 until 2017, as an extension of EXIT Festival, and then at Buljarica Beach in Montenegro until 2022. In May 2023, the organizers announced the festival's displacement from Montenegro, because of the blockades and lack of financial support from the local government, with several potential future locations announced. Croatia was revealed as the location in June 2023. Just after its first edition, Sea Dance Festival was officially proclaimed as the 'Best Medium Sized European festival' at the European Festivals Awards, held in Groningen in January 2015. Following the recognition at the European Festival Awards, Sea Dance Festival teamed up with London-based media company AEI and its global brands UKF and TheSoundYouNeed for the second edition of the festival.…
118	Signal Festival	Prague	Czech Republic	Europe	2026-10-16	2026-10-19	2	5	3	4	3.5	arts	Art and design, Photography, Nightlife	Signal Festival is an annual festival of light art, digital art, and interactive technology held each October in Prague, Czech Republic. Over four evenings, artists from the Czech Republic and around the world create large-scale light installations, video mapping projections, and interactive works in the city's streets, squares, and historic landmarks. Since its inaugural edition in 2013, the festival has become the most attended cultural event in the Czech Republic, welcoming more than five million visitors across its first thirteen editions. The festival is free to attend along its outdoor routes, with select indoor or premium installations available on a paid-ticket basis. It is organised by Signal Group, founded by producer Martin Pošta, curator Jan Rolník, and artist Amar Mulabegović.
